corpus	text	uid	gword	gloss	graid	gform	ganim	gfunc	refind	reflex
veraa	as1	0001	##	##	##	##				
veraa	as1	0001	ok	ok	other	other				
veraa	as1	0001	gēnē	DEM2	other	other				
veraa	as1	0001	kaka	story	np:dt	np		dt		
veraa	as1	0001	neln̄o	voice	rn	rn				
veraa	as1	0001	vu'	spirit	rn	rn				
veraa	as1	0001	agēnē	DEM2.A	rn_dem2	rn_dem2				
veraa	as1	0002	e	PERS.ART	ln	ln				
veraa	as1	0002	ruwa	two.people	np.h:pred	np	h	pred		
veraa	as1	0002	mē	DAT	rn	rn				
veraa	as1	0002	=n	=ART	=rn	=rn				
veraa	as1	0002	'isi-ruō	same.sex.sibbl-3DL	rn_np.h	rn_np	h			
veraa	as1	0003	##	##	##	##				
veraa	as1	0003	duru	3DL	dl_pro.h:a	dl_pro	h	a		
veraa	as1	0003	ga	STAT	lv	lv				
veraa	as1	0003	mōrōs	want	v:pred	v		pred		
veraa	as1	0003	nō-ru	POSS.DOM-3DL	ln-dl_pro.h:	ln-dl_pro	h			
veraa	as1	0003	'e	PART	ln	ln				
veraa	as1	0003	raw	hermaphrodite.pig	np:p	np		p		
veraa	as1	0003	##	##	##	##				
veraa	as1	0003	ba	but	other	other				
veraa	as1	0003	duru	3DL	dl_pro.h:s	dl_pro	h	s		
veraa	as1	0003	ga	STAT	lv	lv				
veraa	as1	0003	'ōg	stay	v:pred	v		pred		
veraa	as1	0003	a	LOC.SP	adp	adp				
veraa	as1	0003	Lēmērig	Lēmērig	np:l	np		l		
veraa	as1	0004	##	##	##	##				
veraa	as1	0004	duru	3DL	dl_pro.h:s	dl_pro	h	s		
veraa	as1	0004	=m	=TAM1	=lv	=lv				
veraa	as1	0004	'ōg	stay	v:pred	v		pred		
veraa	as1	0004	van	go	other	other				
veraa	as1	0004	a	LOC.SP	adp	adp				
veraa	as1	0004	Lēmērig	Lēmērig	np:l	np		l		
veraa	as1	0005	##	##	##	##				
veraa	as1	0005	duru	3DL	dl_pro.h:a	dl_pro	h	a		
veraa	as1	0005	ga	STAT	lv	lv				
veraa	as1	0005	mōrōs	want	v:pred	v		pred		
